user_party;gini_activity
AfD;0.5092498323403617
B90/GRÜNE;0.48684658596050984
BSW;0.48910910125051077
CDU/CSU;0.5116759335867934
FDP;0.4918376321579105
LINKE;0.5662626749812963
SPD;0.4659889054666287
