user_party;AfD;B90/GRÜNE;BSW;CDU/CSU;FDP;LINKE;SPD
AfD;38.638429483774246;14.535302381036702;3.0196786721913327;28.13566124824403;5.9272113420925265;2.415270744059213;7.328446128601953
B90/GRÜNE;4.646610135107721;38.13445855479369;2.5479774414736074;31.818274029293626;10.836004381872034;2.894875644094616;9.12179981336471
BSW;7.655873234584912;11.15225628660007;47.64037202893559;15.949018256975542;5.87323458491216;4.323114019979331;7.406131588012401
CDU/CSU;5.5618134860130075;18.039642779350903;2.350561657902107;51.10371223200673;10.456483181379719;2.545975044341413;9.94181161900613
FDP;3.9075274880180437;16.63377502114463;2.717789681420919;26.580208627008737;37.52184945023964;3.5974062588102624;9.041443473357766
LINKE;4.1656040125818246;12.335288616849443;5.534302473858709;22.375244410439514;9.096318966250108;38.62110005950863;7.872141460511774
SPD;4.094615177851447;16.76373084849028;3.6555864169877252;26.287967028044086;9.371920078845982;2.6252127945524597;37.20096765522803
