party;Tweets;Tokens;Avg_Tweet_Length;%;source
CDU/CSU;178574;3396486;19.02004771131296;36.2;Augmentation
SPD;54273;982746;18.10745674644851;11.0;Augmentation
B90/GRÜNE;92429;1624999;17.581051401616374;18.7;Augmentation
FDP;58708;1112432;18.94855896981672;11.9;Augmentation
AfD;72337;1301292;17.989300081562686;14.7;Augmentation
LINKE;18297;306176;16.733672186697273;3.7;Augmentation
BSW;18807;361371;19.21470728983889;3.8;Augmentation
Total;493425;9085502;18.41312375107919;100.0;Augmentation
