party;Tweets;Tokens;Avg_Tweet_Length;%;source
CDU/CSU;455432;8673669;19.044926575207715;36.0;Combined
SPD;129595;2404425;18.553377830934835;10.2;Combined
B90/GRÜNE;278298;4932293;17.723063047524597;22.0;Combined
FDP;139393;2664967;19.11837036293071;11.0;Combined
AfD;161275;2957099;18.335755696791196;12.7;Combined
LINKE;50170;901214;17.963205102650985;4.0;Combined
BSW;51640;1016955;19.69316421378776;4.1;Combined
Total;1265803;23550622;18.60527696231012;100.0;Combined
