party;Neutral;Opposition;Support;Total;Support_share;Neutral_share;Opposition_share;NSI;source
AfD;11758;58669;18511;88938;20.81;13.22;65.97;-45.152803076300344;Random
B90/GRÜNE;20662;144347;20860;185869;11.22;11.12;77.66;-66.43765232502462;Random
BSW;4990;24345;3498;32833;10.65;15.2;74.15;-63.49404562482868;Random
CDU/CSU;30614;221229;25015;276858;9.04;11.06;79.91;-70.87171040750133;Random
FDP;9569;60939;10177;80685;12.61;11.86;75.53;-62.91380058251224;Random
LINKE;4426;23648;3799;31873;11.92;13.89;74.19;-62.275280017569735;Random
SPD;8374;61002;5946;75322;7.89;11.12;80.99;-73.09418231061309;Random
