party;assigned_users;Ablehnung;Neutral;Zustimmung;total_support_tweets;avg_support_tweets_per_user;Zustimmung_share;Neutral_share;Ablehnung_share
AfD;2867;27118;6392;15961;15961;5.57;32.26;12.92;54.82
B90/GRÜNE;2585;62743;10487;16183;16183;6.26;18.1;11.73;70.17
BSW;371;11198;2544;2660;2660;7.17;16.22;15.51;68.27
CDU/CSU;4202;112199;17787;24179;24179;5.75;15.68;11.54;72.78
FDP;1382;33449;6126;9038;9038;6.54;18.59;12.6;68.81
LINKE;541;10248;2079;3278;3278;6.06;21.01;13.32;65.67
SPD;576;31005;4679;4637;4637;8.05;11.5;11.6;76.9
TOTAL;12524;287960;50094;75936;75936;6.49;18.34;12.1;69.56
