party;Neutral;Opposition;Support;Total;Support_share;Neutral_share;Opposition_share;NSI;source
AfD;20761;105168;35346;161275;21.92;12.87;65.21;-43.293752906526116;Combined
B90/GRÜNE;31082;215724;31492;278298;11.32;11.17;77.52;-66.19954149868127;Combined
BSW;7668;38323;5649;51640;10.94;14.85;74.21;-63.27265685515104;Combined
CDU/CSU;49481;363784;42167;455432;9.26;10.86;79.88;-70.61800663984964;Combined
FDP;16345;104896;18152;139393;13.02;11.73;75.25;-62.22981067915892;Combined
LINKE;6471;37528;6171;50170;12.3;12.9;74.8;-62.50149491728124;Combined
SPD;13862;105761;9972;129595;7.69;10.7;81.61;-73.91411705698522;Combined
