party;assigned_users;Ablehnung;Neutral;Zustimmung;total_support_tweets;avg_support_tweets_per_user;Zustimmung_share;Neutral_share;Ablehnung_share
AfD;2638;27118;6392;15961;15961;6.05;32.26;12.92;54.82
B90/GRÜNE;2063;62743;10487;16183;16183;7.84;18.1;11.73;70.17
BSW;301;11198;2544;2660;2660;8.84;16.22;15.51;68.27
CDU/CSU;3420;112199;17787;24179;24179;7.07;15.68;11.54;72.78
FDP;886;33449;6126;9038;9038;10.2;18.59;12.6;68.81
LINKE;441;10248;2079;3278;3278;7.43;21.01;13.32;65.67
SPD;276;31005;4679;4637;4637;16.8;11.5;11.6;76.9
TOTAL;10025;287960;50094;75936;75936;7.57;18.34;12.1;69.56
