party;VI;NSI;SR;WSI;ASI;SupportSum;RejectSum;SupportDist;RejectDist
AfD;0.12740914075164875;-0.4329375290652612;0.2515478884666297;-0.05516019857734688;0.2859850374064838;35346;105168;0.2373027009244775;0.10828843967775416
B90/GRÜNE;0.2198586827028513;-0.6619954149868127;0.12738657692058766;-0.14554543989432803;0.25785536159600997;31492;215724;0.21142807269602348;0.22212474670093413
BSW;0.04079620541568837;-0.6327265685515104;0.12846811607386519;-0.02581284306259105;0.037007481296758106;5649;38323;0.03792573296900281;0.03946008171469052
CDU/CSU;0.3597966193818316;-0.7061800663984964;0.10387214220435471;-0.2540812005650164;0.4191521197007481;42167;363784;0.2830968989385629;0.37457783489019586
FDP;0.1101221042120265;-0.6222981067915893;0.1475196671217736;-0.06852877696705019;0.13785536159600997;18152;104896;0.12186721629551055;0.10800836916588412
LINKE;0.039634888181740616;-0.6250149491728124;0.1412160461337788;-0.024772397622380714;0.05396508728179551;6171;37528;0.04143028821945767;0.03864149327007035
SPD;0.10238156934248904;-0.7391411705698522;0.08616384263779561;-0.07567443300858584;0.05745635910224439;9972;105761;0.06694908995696514;0.10889903458047084
